Normalized,Occurrences,Lemma,POS,NormalizedID,MorphNotes,divine name?,divine name key,persname?,persname gender ,persname type ,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
,,,,,,"(y if yes) or historical, mythical, divine",,(y if yes),"(m, f, ?)","(Christian, Jewish, other, ?)",,,(y if yes),"(military, government, religious, honorific)",,,,,,,,,,,,"(month, day, year)",,,,,,,,,,,,
a,masa0941-20,a,X,w-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac,caes0009-2,ac,CCONJ,w-ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adiutoribus,caes0682-3,adiutor,NOUN,w-adiutoribus,,,,,,,,,,,,,,,,,,,,,,,,y,adiutor,,,,,,,,,
Aelio,"caes0011-1, caes0353-1, jeru0497-4",aelius,PROPN,w-aelio,,,,y,m,other,Aelius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aemilia,"masa0750-1, nabl0001-7",aemilius,ADJ,w-aemilia,,,,y,m,other,Aemilius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aemilius,"masa0750-1, nabl0001-7",aemilius,PROPN,w-aemilius,,,,y,m,other,Aemilius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africano,"caes0009-17, caes0107-10",africanus,PROPN,w-africano,,,,y,m,other,Africanus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africanus,"caes0009-17, caes0107-10",africanus,PROPN,w-africanus,,,,y,m,other,Africanus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africe,jeru0495-6,Africes,PROPN,w-africe,,y,Africe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrippae,"caes0003-3, caes0032-6",agrippa,PROPN,w-agrippae,,,,y,m,other,Agrippa,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrippam,"caes0003-3, caes0032-6",agrippa,PROPN,w-agrippam,,,,y,m,other,Agrippa,,,,,,,,,,,,,,,,,,,,,,,,,,,
alae,tsha0001-2,aa,NOUN,w-alae,,,,,,,,,,,,y,ala,,,,,,,,,,,,,,,,,,,,,
alam,"unkn0130-29, yotv0001-14",ala,NOUN,w-alam,,,,,,,,,,,,y,ala,,,,,,,,,,,,,,,,,,,,,
Alamannico,maay0001-18,Alamannicus,PROPN,w-alamannico,,,,,,,,,,,,,,y,tribe,,,,,,,,,,,,,,,,,,,
alis,"unkn0130-29, yotv0001-14",ala,NOUN,w-alis,,,,,,,,,,,,y,ala,,,,,,,,,,,,,,,,,,,,,
amico,caes0002-10,amicus,NOUN,w-amico,,,,,,,,,,,,,,,,y,friend,,,,,,,,,,,,,,,,,
Amineum,"masa0796-1, masa0797-2",Amineus,ADJ,w-amineum,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,food,,,,,
Amphorae,masa0826-6,Amphora,PROPN,w-amphorae,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,utensil,,,,,
Anchararius,masa0755-1,Anchararius,PROPN,w-anchararius,,,,y,m,other,Anchararius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancharius,"masa0751-1, masa0752-1, masa0753-1, masa0754-1",ancharius,PROPN,w-ancharius,,,,y,m,other,Ancharius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annius,"masa0756-1, masa0757-1",annius,PROPN,w-annius,,,,y,m,other,Annius,,,,,,,,,,,,,,,,,,,,,,,,,,,
annos,"emma0001-13, emma0001-16, nabl0001-17, nabl0002-8",annus,NOUN,w-annos,,,,,,,,,,,,,,,,,,,,,y,year,,,,,,,,,,,,
Antonini,"bani0003-4, bani0003-7, megi0002-15",Antoninos,PROPN,w-antonini,,,,y,m,other,Antoninus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonini,ashk0003a-4,Antoninus,PROPN,w-antonini,,,,y,m,other,Antoninus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoniniana,"caes0018-16, jeru0554-25, megi0002-25",Antoniniana,PROPN,w-antoniniana,,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
Antoninianae,"caes0018-16, jeru0554-25, megi0002-25",Antoniniana,PROPN,w-antoninianae,,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
Antonino,"ashk0003a-14, jeru0497-6, unkn0131-5",antoninus,PROPN,w-antonino,,,,y,m,other,Antoninus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoninus,"ashk0003a-14, jeru0497-6, unkn0131-5",antoninus,PROPN,w-antoninus,,,,y,m,other,Antoninus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio,caes0107-4,antonius,PROPN,w-antonio,,,,y,m,other,Antonius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphrodilus,caes0164-1,Aphrodilus,PROPN,w-aphrodilus,,,,y,m,other,Aphrodilus,,,,,,,,,,,,,,,,,,,,,,,,,,,
appellantur,unkn0130-35,appello,VERB,w-appellantur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbaeus,caes0009-16,Arbaeus,PROPN,w-arbaeus,,,,y,m,other,Arabaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armeniaca,unkn0130-49,Armeniacus,ADJ,w-armeniaca,,,,,,,,,,,,,,y,Armenian,,,,,,,,,,,,,,,,,,,
Atilio,achz0001-19,atilius,PROPN,w-atilio,,,,y,m,other,Atilius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aufidius,"caes0014-14, caes0017-14, masa0758-1, masa0759-1",aufidius,PROPN,w-aufidius,,,,y,m,other,Aufidius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augindai,nabl0002-3,Augindaus,PROPN,w-augindai,,,,y,m,other,Augindaus,,,,,,,,,,,,,,,,,,,,,,,,,,,
augures,caes0123-1,auguris,NOUN,w-augures,,,,,,,,,y,religious,augur,,,,,,,,,,,,,y,augur,,,,,,,,,
auguri,jeru0497-12,augur,NOUN,w-auguri,,,,,,,,,y,religious,augur,,,,,,,,,,,,,y,augur,,,,,,,,,
Augusta,"caes0003-9, caes0024-2, caes0044-4, unkn0130-44",augusta,PROPN,w-augusta,,y,Augustus,y,m,other,Augustus,,y,government,Augustus,y,unitname,,,,,,,,,,,,,,,,,,,,,
Augustae,"caes0003-9, caes0024-2, caes0044-4, unkn0130-44",augusta,PROPN,w-augustae,,y,Augustus,y,m,other,Augustus,,y,government,Augustus,y,unitname,,,,,,,,,,,,,,,,,,,,,
Augustalibus,"caes0122-3, caes0122-7",Augustalis,ADJ,w-augustalibus,,y,,,m,other,Augustalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augustalis,"caes0122-3, caes0122-7",Augustalis,PROPN,w-augustalis,,y,,,m,other,Augustalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusti,"achz0001-7, achz0001-22, ashk0003a-18, ashk0003b-15, bani0003-5, bani0003-8, bshe0006-14, caes0002-3, caes0006-9, caes0007-5, caes0009-15, caes0011-6, caes0018-5, caes0020-2, caes0022-3, caes0027-4, caes0031-3, caes0034-4, caes0035-3, caes0045-4, caes0047-5, caes0049-5, caes0051-5, caes0052-5, caes0053-4, caes0054-5, caes0106-9, caes0106-19, caes0107-7, caes0107-13, caes0354-2, cape0001-12, jeru0491-4, jeru0491-9, jeru0491-11, jeru0494-4, jeru0494-9, jeru0494-15, jeru0497-7, jeru0554-12, kara0001-9, kara0001-19, maay0001-17, megi0002-16, tsha0002-12, unkn0130-7, unkn0131-8, yotv0001-4, yotv0001-7",augustus,PROPN,w-augusti,,y,Augustus,y,m,other,Augustus,,y,government,,,,,,,,,,,,,,,,,,,,,,,,
Augustis,"achz0001-7, achz0001-22, ashk0003a-18, ashk0003b-15, bani0003-5, bani0003-8, bshe0006-14, caes0002-3, caes0006-9, caes0007-5, caes0009-15, caes0011-6, caes0018-5, caes0020-2, caes0022-3, caes0027-4, caes0031-3, caes0034-4, caes0035-3, caes0045-4, caes0047-5, caes0049-5, caes0051-5, caes0052-5, caes0053-4, caes0054-5, caes0106-9, caes0106-19, caes0107-7, caes0107-13, caes0354-2, cape0001-12, jeru0491-4, jeru0491-9, jeru0491-11, jeru0494-4, jeru0494-9, jeru0494-15, jeru0497-7, jeru0554-12, kara0001-9, kara0001-19, maay0001-17, megi0002-16, tsha0002-12, unkn0130-7, unkn0131-8, yotv0001-4, yotv0001-7",augustus,PROPN,w-augustis,,y,Augustus,y,m,other,Augustus,,y,government,,,,,,,,,,,,,,,,,,,,,,,,
Augusto,"achz0001-7, achz0001-22, ashk0003a-18, ashk0003b-15, bani0003-5, bani0003-8, bshe0006-14, caes0002-3, caes0006-9, caes0007-5, caes0009-15, caes0011-6, caes0018-5, caes0020-2, caes0022-3, caes0027-4, caes0031-3, caes0034-4, caes0035-3, caes0045-4, caes0047-5, caes0049-5, caes0051-5, caes0052-5, caes0053-4, caes0054-5, caes0106-9, caes0106-19, caes0107-7, caes0107-13, caes0354-2, cape0001-12, jeru0491-4, jeru0491-9, jeru0491-11, jeru0494-4, jeru0494-9, jeru0494-15, jeru0497-7, jeru0554-12, kara0001-9, kara0001-19, maay0001-17, megi0002-16, tsha0002-12, unkn0130-7, unkn0131-8, yotv0001-4, yotv0001-7",augustus,PROPN,w-augusto,,y,Augustus,y,m,other,Augustus,,y,government,,,,,,,,,,,,,,,,,,,,,,,,
